0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:41 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:44 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:45 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:45 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:45 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:45 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:45 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:47 +0800] "GET /BookStore/Home_page/BookAdvice_detail.jsp?thisbookname=%E5%9F%8E%E5%8D%97%E6%97%A7%E4%BA%8B HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:52 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:52 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:52 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:52 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:52 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:52 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:14 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:14 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:14 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:14 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:14 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:14 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:16 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:16 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:17 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:17 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:17 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:13:17 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 2199
